gmd,channel,bunch,aligned_trains,sample_n,finite_n,finite_fraction,min,p01,median,p99,max
hall,6,24,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,25,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,26,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,27,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,28,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,29,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,7,0,4330,4330,4330,1.0,0.0,0.0,0.0,4096.0,4096.0
hall,7,1,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,2,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,3,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,4,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,5,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,6,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,7,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,8,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,9,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,10,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,11,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,12,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,13,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,14,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,15,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,16,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,17,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,18,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,19,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,20,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,21,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,22,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,23,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,24,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,25,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,26,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,27,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,28,4330,4330,0,0.0,nan,nan,nan,nan,nan
hall,7,29,4330,4330,0,0.0,nan,nan,nan,nan,nan
tunnel,0,0,4330,4330,4330,1.0,0.023030532523989677,0.4174383836984634,3.6656124591827393,16.68790798187256,23.98717498779297
tunnel,0,1,4330,4330,4330,1.0,-0.1013234406709671,0.47403972774744035,4.032958269119263,17.210098133087158,25.28569793701172
tunnel,0,2,4330,4330,4330,1.0,0.04513802379369736,0.5488299477100372,4.432209491729736,17.643918018341065,27.818912506103516
tunnel,0,3,4330,4330,4330,1.0,-0.8860543966293335,0.5779838699102402,4.6311540603637695,18.265998153686525,24.301509857177734
tunnel,0,4,4330,4330,4330,1.0,0.06727180629968643,0.6023845779895782,4.755386114120483,18.22210008621217,25.1473388671875
tunnel,0,5,4330,4330,4330,1.0,0.02968599647283554,0.6438560700416565,4.641204357147217,17.7373405456543,26.232707977294922
tunnel,0,6,4330,4330,4330,1.0,0.02459653839468956,0.625755351781845,4.730662822723389,17.77575212478638,24.57709312438965
tunnel,0,7,4330,4330,4330,1.0,0.08605942875146866,0.6982887780666351,4.703485488891602,17.773970794677737,24.22642707824707
tunnel,0,8,4330,4330,4330,1.0,0.09927859902381897,0.6371216833591461,4.753182888031006,18.21418640136719,28.003135681152344
tunnel,0,9,4330,4330,4330,1.0,0.05296541750431061,0.6372296315431595,4.76474666595459,17.965259571075446,25.679840087890625
tunnel,0,10,4330,4330,4330,1.0,0.052620794624090195,0.5700889164209366,4.651520729064941,17.590792655944828,26.854862213134766
tunnel,0,11,4330,4330,4330,1.0,0.09584569931030273,0.5954691231250763,4.6551594734191895,17.51607397079468,26.025554656982422
tunnel,0,12,4330,4330,4330,1.0,0.036689724773168564,0.6021481019258499,4.6280317306518555,18.007111415863037,23.013519287109375
tunnel,0,13,4330,4330,4330,1.0,0.1056036576628685,0.6327105522155761,4.726927280426025,17.735434570312503,27.45329475402832
tunnel,0,14,4330,4330,4330,1.0,0.002666383981704712,0.6101641845703125,4.864114761352539,17.959956665039066,25.618013381958008
tunnel,0,15,4330,4330,4330,1.0,0.069879449903965,0.7451032423973083,4.700794458389282,17.86890106201172,24.468488693237305
tunnel,0,16,4330,4330,4330,1.0,-0.008689671754837036,0.5921427124738693,4.805409908294678,17.996513671875,24.663314819335938
tunnel,0,17,4330,4330,4330,1.0,-0.41438028216362,0.675742751955986,4.645314455032349,17.636084365844727,26.39984703063965
